query,pgfusion_best_ms,pgfusion_status,postgres_best_ms,postgres_status
Q0,55026.436,OK,108136.358,OK
Q1,,ERROR,98790.795,OK
Q2,,ERROR,96396.445,OK
Q3,70052.742,OK,92580.898,OK
Q4,72318.061,OK,110334.485,OK
Q5,,ERROR,118114.662,OK
Q6,69086.124,OK,98866.591,OK
Q7,,ERROR,100373.628,OK
Q8,75599.752,OK,114323.177,OK
Q9,,ERROR,116781.915,OK
Q10,,ERROR,98485.925,OK
Q11,,ERROR,99228.074,OK
Q12,,ERROR,101584.565,OK
Q13,,ERROR,102741.376,OK
Q14,,ERROR,100279.007,OK
Q15,73385.214,OK,103789.585,OK
Q16,,ERROR,120400.336,OK
Q17,,ERROR,98976.900,OK
Q18,,ERROR,131353.002,OK
Q19,71786.524,OK,91691.307,OK
Q20,73205.561,OK,98533.765,OK
Q21,,ERROR,97816.308,OK
Q22,,ERROR,97641.501,OK
Q23,,ERROR,95766.962,OK
Q24,,ERROR,95060.210,OK
Q25,,ERROR,94103.433,OK
Q26,,ERROR,92806.898,OK
Q27,114064.096,OK,99719.384,OK
Q28,107190.465,OK,115727.510,OK
Q29,111996.553,OK,109361.052,OK
Q30,,ERROR,105673.436,OK
Q31,,ERROR,104896.389,OK
Q32,74651.286,OK,152311.069,OK
Q33,83817.250,OK,126985.399,OK
Q34,82726.644,OK,127608.668,OK
Q35,114782.408,OK,109300.621,OK
Q36,,ERROR,107612.324,OK
Q37,,ERROR,103545.332,OK
Q38,,ERROR,101123.187,OK
Q39,,ERROR,99372.179,OK
Q40,,ERROR,97776.908,OK
Q41,,ERROR,96877.140,OK
Q42,,ERROR,99968.174,OK
