Timing is on.
 counterid |          l           |    c    
-----------+----------------------+---------
    233773 | 453.1628285069235913 | 2938865
    245438 | 261.5561648267023305 | 2510103
    122612 | 230.6844259118686673 | 3574007
    234004 | 198.0893656247381212 |  238660
      1634 | 187.9562693941447086 |  323229
       786 | 180.3600988981813355 |  120528
    114157 | 139.1182303796532476 |  216408
       515 | 123.9662303361990919 |  146907
    256004 | 121.8610067224364375 |  858171
     95427 | 116.9192185003713539 |  374306
    199550 | 106.8918033289142879 | 7115413
    220992 | 103.7586784846365044 |  494614
