Timing is on.
             key              |          l           |    c    |                                                                                                                                                                                                               min                                                                                                                                                                                                               
------------------------------+----------------------+---------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 svpressa.ru                  | 282.9757872931582971 |  243302 | http://svpressa.ru
 msuzie-showforumdisplay      | 245.2175671849819243 |  183672 | http://msuzie-showforumdisplay
 saint-peters-total=меньше 80 | 223.2187063634550170 |  200520 | http://saint-peters-total=меньше 80/cash/station=search&input_age1=&int[2274/trashbox.ru/details&cad=rjt&fu=0&input_who1=2&input_who1=2&input_city-4400047.html?1=1&price_ot=&price_ot=&price=мень&clid=143431512&s_yers=0&model&desc=&name=1&markett.ru%2Frenazheltyj-95692465&text=поздравстраницу&clid=4405404/menu_29.html&ei=UIX1UZTFNJTI0ci8guSn3tW.pl?cmd=showthreadreplies=978-4121-469171&history47/11/?from=&district
 domics                       | 198.5309174655160782 |  326094 | http://domics/825179.11931861234499792
 e96.ru                       | 196.0955925492065921 | 1019274 | http://e96.ru
 gadgets.irr.ru               | 126.3397843927825913 |  349710 | https://gadgets.irr.ru/2jmj7l5rSw0yVb
 go.mail                      | 104.3538913254108115 | 8248552 | http://go.mail
 google.ru                    | 103.9533274264673886 | 2160198 | http://google.ru
 msouz.ru                     | 103.0735550445035026 |  301774 | http://msouz.ru/?ffshop
 state=19945206               | 102.1428142088233343 |  512414 | http://state=19945206/foto-4/login_A_.swf?v=141&lr=55&usg=AFQjCNEhBv9Y-Za_58Mr-gngNy9T2UuhEQ&bvm=bv.49784469,d.bGE&cad=rjt&kb=1
 bonprix.ru                   |  99.6186184401365752 | 1127291 | http://bonprix.ru
 loveplanet.ru                |  99.1874088886022060 |  465090 | http://loveplanet.ru
