query,pgfusion_best_ms,pgfusion_status,postgres_best_ms,postgres_status
Q0,10814.350,OK,12969.411,OK
Q1,10830.308,OK,14810.935,OK
Q2,13056.567,OK,14365.804,OK
Q3,11385.757,OK,13833.916,OK
Q4,11069.614,OK,20938.587,OK
Q5,11249.729,OK,296785.411,OK
Q6,11458.097,OK,13928.177,OK
Q7,11443.848,OK,14606.338,OK
Q8,11419.707,OK,29975.469,OK
Q9,12018.182,OK,31755.197,OK
Q10,11391.440,OK,15024.110,OK
Q11,11294.008,OK,15343.460,OK
Q12,10875.290,OK,219944.475,OK
Q13,10986.676,OK,267323.218,OK
Q14,11137.673,OK,220219.514,OK
Q15,11163.484,OK,18105.387,OK
Q16,11404.088,OK,33701.377,OK
Q17,11896.262,OK,18111.217,OK
Q18,21927.811,OK,40331.725,OK
Q19,11244.983,OK,13627.105,OK
Q20,11156.768,OK,13869.362,OK
Q21,11186.661,OK,14258.323,OK
Q22,11104.350,OK,14223.948,OK
Q23,62099.714,OK,13762.319,OK
Q24,11243.520,OK,13623.771,OK
Q25,11668.908,OK,14668.098,OK
Q26,11277.849,OK,13289.975,OK
Q27,12436.034,OK,14921.460,OK
Q28,17330.320,OK,73310.112,OK
Q29,210398.824,OK,16791.267,OK
Q30,10729.480,OK,16755.881,OK
Q31,11111.980,OK,17352.162,OK
Q32,60478.187,OK,46644.313,OK
Q33,13323.033,OK,212385.927,OK
Q34,13348.700,OK,211539.377,OK
Q35,11029.244,OK,17531.205,OK
Q36,10611.976,OK,17179.285,OK
Q37,10721.905,OK,14952.499,OK
Q38,11295.041,OK,13910.228,OK
Q39,11549.828,OK,17053.496,OK
Q40,11020.754,OK,14232.710,OK
Q41,11416.211,OK,13930.402,OK
Q42,10457.054,OK,14054.509,OK
