query,pgfusion_best_ms,pgfusion_status,postgres_best_ms,postgres_status
Q1,378.978,OK,608.498,OK
Q3,276.198,OK,174.933,OK
Q4,253.820,OK,279.788,OK
Q5,1166.672,OK,163.069,OK
Q6,327.939,OK,132.480,OK
Q7,587.923,OK,177.153,OK
Q8,1519.943,OK,165.583,OK
Q9,2046.952,OK,720.877,OK
Q10,367.214,OK,218.445,OK
Q11,320.709,OK,62.434,OK
Q12,514.102,OK,188.668,OK
Q13,245.522,OK,240.111,OK
Q14,243.524,OK,121.018,OK
Q15,433.801,OK,177.890,OK
Q16,177.045,OK,457.117,OK
Q18,1481.446,OK,2356.236,OK
Q19,366.337,OK,165.377,OK
Q22,205.692,OK,75.673,OK
